Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted
b7a9c31a8,"I-40 Autos, LLC",b4df3297f5,"I-40 Autos, LLC",Sales Inbound
d3216c3e4,John Hiester Chevrolet,0dcef03834,John Hiester Chevrolet,Service Inbound
acb5f83e1,McGrath Acura of Westmont (Mcgrath Imports),bf524480-3,McGrath Acura,Service Inbound
acb5f83e1,McGrath Acura of Westmont (Mcgrath Imports),987d7cb5f5,McGrath Acura,Sales Inbound
21de286e9,Paragon Motors of Woodside Inc dba Paragon Honda,5895de05b,Paragon Honda,Sales Inbound
06e65fbde,"Feldmann Imports, Inc.",5480771b21,"Feldmann Imports, Inc.",Sales Inbound
9016eb535,Bridgeton Auto Mall,e4047018-c,Bridgeton Auto Mall,Sales Inbound
e258a7579,Bob King Mazda,a9e37101ea,Bob King Mazda,Service Inbound
9016eb535,Bridgeton Auto Mall,e4047018-c,Bridgeton Auto Mall,Sales Outbound
06e65fbde,"Feldmann Imports, Inc.",5480771b21,"Feldmann Imports, Inc.",Service Inbound
06e65fbde,"Feldmann Imports, Inc.",5480771b21,"Feldmann Imports, Inc.",Service Outbound
ef09d889d,Victory Automotive Group,bf718528af,Victory Toyota of Midtown,Service Inbound
6548557c2,Wolfchase Honda & Nissan,405beccbe9,Wolfchase Honda,Service Outbound
6548557c2,Wolfchase Honda & Nissan,d14b8b8338,Wolfchase Nissan,Service Outbound
6548557c2,Wolfchase Honda & Nissan,405beccbe9,Wolfchase Honda,Sales Outbound
6548557c2,Wolfchase Honda & Nissan,d14b8b8338,Wolfchase Nissan,Sales Outbound
6548557c2,Wolfchase Honda & Nissan,405beccbe9,Wolfchase Honda,Sales Inbound
6548557c2,Wolfchase Honda & Nissan,d14b8b8338,Wolfchase Nissan,Sales Inbound
4f772edd8,World Car Auto Group,d2999d21-c,World Car Kia San Antonio,Service Inbound
4f772edd8,World Car Auto Group,d4c824c0-9,World Car Mazda San Antonio,Service Inbound
f20ae28a0,DeNooyer Chevrolet Kalamazoo,723708ae8f,DeNooyer Chevrolet Kalamazoo,Service Inbound
7d06f7427,Brandon Steven Motors,49a06313cf,Covina Kia,Sales Inbound
