,,,,,,,,June 1,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted,Go-Live Date,ARR,MRR,Days Live,# Total Leads,# Leads Interacted,% TOFU Capture,# Qualified Leads,# Transfers,% Transfers,# Appt Booked,% Appt Conversion,Quality,STL enabled?,Afterhours / Overflow / Roundrobin,Smartview Widget,Multiday followup,Coverage,Customer Sentiment,CPA,Apt value,ROI Multiple,ROI based RAG,Sorting RAG,Next Step Owner,Next Step Owner Team,Tasks to turn green,Avg lead/day
21de286e9,Paragon Motors of Woodside Inc dba Paragon Honda,5895de05b,Paragon Honda,Sales Inbound,Sep 08,"$24,000","$2,000",266,175,179,102.29%,30,28,15.64%,5,16.67%,,No,After Hours,No,No,,,$100.00,$500.00,0.25,Red,001-Red,,CSM,Enable STL via ADF/emails,6
dab960b7c,Mercedes-Benz of Arlington,341a56683a,Mercedes-Benz of Arlington,Sales Outbound,May 11,"$24,000","$2,000",21,,2691,,273,,,7,2.56%,,,,,,,,$250.00,"$1,750.00",1.25,Red,,,,,0
21de286e9,Worldwide Motors LTD dba Paragon Acura,e9e19bca63,Paragon Acura,Service Outbound,May 29,"$24,000",2000,,1605,Not service,Not service,236,Not service,Not service,8,,,,,,,,,,,,,,,,,#DIV/0!
acb5f83e1,McGrath Acura of Westmont (Mcgrath Imports),bf524480-3,McGrath Acura,Service Inbound,Jan 01,"$18,000","$1,500",151,108,108,100.00%,50,32,29.63%,18,36.00%,,,,,,,,$50,$900,0.60,Red,,,CSM,- Improve top the funnel,4
acb5f83e1,McGrath Acura of Westmont (Mcgrath Imports),987d7cb5f5,McGrath Acura,Sales Inbound,Jan 01,"$18,000","$1,500",151,1853,178,9.61%,119,7,3.93%,13,10.92%,,Yes,Overflow,No,No,,,$100.00,"$1,300.00",0.87,Red,001-Red,,CSM,Enable STL 24x7 + Enable Followups,62
9d4468871,Dutch Miller Auto Group,e08ec18b4f,Dutch Miller Kia Charlotte,Sales Outbound,May 27,"$18,000","$1,500",5,,190,,27,,,2,7.41%,,,,,,,,$250.00,$500.00,2.00,Red,,,,,0
9d4468871,Dutch Miller Auto Group,e08ec18b4f,Dutch Miller Kia Charlotte,Service Inbound,May 27,"$18,000","$1,500",5,12,12,100.00%,7,1,8.33%,2,28.57%,,,,,,,,$50,$600,0.40,Red,,,CSM,- Improve top the funnel,2
9d4468871,Dutch Miller Auto Group,e08ec18b4f,Dutch Miller Kia Charlotte,Service Outbound,May 31,"$18,000","$1,500",,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
